Date,Open,High,Low,Close,Volume
02-07-2002,21.370001,22.783001,21.370001,22.52,588615
03-07-2002,22.267,22.799999,21.933001,22.733,162075
04-07-2002,22.667,23.333,22.667,22.966999,266625
05-07-2002,23.4,25,23.333,24.056999,408600
08-07-2002,24.003,24.867001,24.003,24.503,165600
09-07-2002,24.4,24.639999,24,24.306999,74835
10-07-2002,24.003,24.6,23.747,24.462999,93675
11-07-2002,24.267,24.267,22.4,24.056999,61380
12-07-2002,24.333,24.333,23.667,23.806999,63405
15-07-2002,24.132999,24.132999,23.052999,23.233,42795
16-07-2002,23.66,23.66,23,23.177,107070
17-07-2002,22.933001,22.983,22.02,22.443001,114600
18-07-2002,23.333,23.333,21.466999,22.513,88500
19-07-2002,22.132999,22.667,20.733,22.027,104325
22-07-2002,22,22.533001,21.667,22.226999,86790
23-07-2002,22.333,22.66,22,22.263,52935
24-07-2002,20.799999,22.933001,20.799999,22.372999,34530
25-07-2002,21.867001,23.6,21.867001,23.056999,188115
26-07-2002,23,23.433001,22.333,22.753,420480
29-07-2002,22.867001,23.6,22.066999,22.237,235215
30-07-2002,22.360001,22.667,21.333,21.52,70515
31-07-2002,20.132999,22.799999,20.132999,21.917,247245
01-08-2002,22.382999,22.382999,21.403,21.697001,36225
02-08-2002,20.667,21.993,20.667,21.683001,18165
05-08-2002,21.299999,22.120001,21.299999,22.017,95790
06-08-2002,21.983,22.299999,21.983,22.003,72615
07-08-2002,21.4,22.459999,21.4,22.253,64575
08-08-2002,22.26,22.533001,22.077,22.41,130245
09-08-2002,21.767,22.533001,21.767,22.413,62790
12-08-2002,22.066999,22.663,22.066999,22.243,31755
13-08-2002,22.083,22.6,22.083,22.367001,64410
14-08-2002,21.466999,25.267,21.466999,22.306999,71940
15-08-2002,22.306999,22.306999,22.306999,22.306999,0
16-08-2002,22.207001,22.58,22.093,22.207001,44520
19-08-2002,21.969999,22.533001,21.370001,21.700001,203220
20-08-2002,21.927,22.933001,21.799999,22.702999,137910
21-08-2002,22.966999,23,22.200001,22.35,95760
22-08-2002,22.337,22.667,21.68,22.542999,73305
23-08-2002,22.367001,22.620001,22.333,22.466999,118755
26-08-2002,22.27,22.799999,22.27,22.527,83790
27-08-2002,22.799999,22.933001,22.533001,22.549999,57975
28-08-2002,23.09,23.09,22.533001,22.566999,96015
29-08-2002,22.533001,22.867001,22.347,22.67,147930
30-08-2002,22.667,22.792999,22.6,22.683001,30945
02-09-2002,22.733,23,22.469999,22.693001,48225
03-09-2002,22.993,23,22.333,22.913,133830
04-09-2002,22.799999,22.933001,22.67,22.767,12720
05-09-2002,23.466999,24.933001,23.200001,23.357,324420
06-09-2002,23.360001,23.726999,23.200001,23.440001,104160
09-09-2002,24.933001,24.933001,22.733,22.907,44100
10-09-2002,22.907,22.907,22.907,22.907,0
11-09-2002,23.132999,23.23,22.667,22.73,318075
12-09-2002,23.299999,23.299999,22.67,22.857,75300
13-09-2002,22.066999,23.066999,22.066999,22.966999,22545
16-09-2002,22.667,23.059999,22.667,22.870001,72045
17-09-2002,22.867001,22.962999,22.747,22.867001,31845
18-09-2002,22.867001,23,22.816999,22.966999,57960
19-09-2002,23,23.132999,22.607,23.023001,287775
20-09-2002,24,24,22.74,22.806999,25680
23-09-2002,22.716999,22.983,22.639999,22.667,18975
24-09-2002,22.700001,23.333,22.607,23.247,503745
25-09-2002,22.966999,23,22.75,22.809999,10275
26-09-2002,24.667,24.667,22.67,22.84,7785
27-09-2002,23.26,23.26,22.833,22.927,15315
30-09-2002,24,24,22.67,22.783001,27465
